Position [um],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ==================== ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time [ms],1E+13,10000000006,1E+13,1E+13,10000000026,1E+13,1E+13,10000000036,1E+13,1E+13,10000000046,1E+13,1E+13,10000000056,1E+13,1E+13,10000000076,1E+13,1E+13,10000000086,1E+13,1E+13,10000000096,1E+13,1E+13,10000000106,1E+13,1E+13,10000000116,1E+13,1E+13,10000000126,1E+13,1E+13,10000000136,1E+13,1E+13,10000000146,1E+13,1E+13,10000000156,1E+13,1E+13,10000000166,1E+13,1E+13,10000000176,1E+13,1E+13,10000000186,1E+13,1E+13,10000000196,1E+13,1E+13,10000000206,1E+13,1E+13,10000000216,1E+13,1E+13,10000000226,1E+13,1E+13,10000000236,1E+13,1E+13,10000000246,1E+13,1E+13,10000000266,1E+13,1E+13,10000000276,1E+13,1E+13,10000000286,1E+13,1E+13,10000000296,1E+13,1E+13,10000000306,1E+13,1E+13,10000000316,1E+13,1E+13,10000000326,1E+13,1E+13,10000000336,1E+13,1E+13,10000000346,1E+13
0,2834.348,5.947,7146.469,2841.256,4.462,7148.104,2838.109,5.687,7148.167,2834.131,4.236,7150.063,2839.37,5.042,7150.423,2835.59,7.149,7151.331,2842.983,3.546,7151.498,2841.553,3.847,7151.657,2836.267,3.787,7152.505,2838.918,5.432,7152.904,2843.317,4.239,7153.157,2831.553,4.383,7153.208,2840.836,5.56,7154.536,2831.631,4.189,7154.699,2834.846,7.01,7154.685,2833.346,5.956,7155.909,2839.203,4.195,7156.042,2837.501,5.984,7156.475,2834.857,5.9,7156.68,2836.828,7.505,7157.185,2839.537,4.238,7157.43,2837.323,5.509,7157.611,2839.208,6.118,7157.897,2843.464,4.88,7158.4,2831.523,3.675,7160.052,2841.387,5.835,7161.611,2837.849,3.427,7162.833,2836.637,5.544,7163.29,2839.876,6.431,7163.468,2841.678,4.129,7164.135,2834.451,4.2,7156.609,2838.759,7.009,7162.338
30,2834.385,6.548,7146.53,2841.245,5.364,7148.18,2838.138,6.523,7148.229,2834.181,5.177,7150.151,2839.371,5.984,7150.468,2835.576,8.046,7151.413,2842.955,4.5,7151.595,2841.518,4.689,7151.722,2836.272,4.693,7152.544,2838.895,6.091,7152.875,2843.302,5.111,7153.239,2831.629,5.203,7153.325,2840.785,6.493,7154.632,2831.65,5.09,7154.796,2834.833,7.963,7154.772,2833.37,6.675,7155.86,2839.207,5.136,7156.096,2837.531,6.922,7156.501,2834.878,6.684,7156.706,2836.785,8.455,7157.249,2839.526,5.095,7157.51,2837.357,6.403,7157.658,2839.253,7.029,7157.956,2843.473,5.616,7158.37,2831.571,4.586,7160.09,2841.364,6.654,7161.605,2837.885,4.345,7162.868,2836.684,6.366,7163.402,2839.87,7.328,7163.426,2841.644,5.07,7164.166,2834.475,5.04,7156.616,2838.576,6.517,7162.664
60,2834.349,6.511,7146.554,2841.258,5.337,7148.246,2838.088,6.489,7148.314,2834.149,5.124,7150.24,2839.414,5.98,7150.56,2835.594,7.986,7151.493,2842.962,4.425,7151.667,2841.515,4.656,7151.846,2836.311,4.648,7152.612,2838.948,6.058,7153.044,2843.296,5.029,7153.292,2831.669,5.14,7153.387,2840.827,6.431,7154.691,2831.69,5.041,7154.883,2834.83,7.752,7154.89,2833.382,6.574,7155.943,2839.269,5.106,7156.154,2837.534,6.825,7156.611,2834.887,6.569,7156.723,2836.796,8.352,7157.34,2839.531,5.051,7157.519,2837.393,6.276,7157.752,2839.241,6.999,7158.012,2843.493,5.547,7158.444,2831.631,4.601,7160.173,2841.348,6.529,7161.63,2837.911,4.197,7162.947,2836.687,6.319,7163.468,2839.785,7.063,7163.529,2841.654,5.024,7164.302,2834.487,5.008,7156.698,2838.62,6.689,7162.662
90,2834.358,6.508,7146.642,2841.274,5.296,7148.258,2838.049,6.53,7148.357,2834.135,5.119,7150.262,2839.371,6.002,7150.59,2835.604,8.006,7151.517,2842.984,4.419,7151.658,2841.539,4.626,7151.833,2836.268,4.659,7152.643,2838.871,6.085,7153.006,2843.302,4.989,7153.348,2831.609,5.132,7153.49,2840.822,6.454,7154.67,2831.71,5.013,7154.889,2834.814,7.894,7154.962,2833.396,6.563,7155.963,2839.254,5.088,7156.186,2837.518,6.8,7156.608,2834.895,6.667,7156.74,2836.837,8.362,7157.362,2839.531,5.104,7157.518,2837.394,6.326,7157.792,2839.25,6.999,7158.008,2843.494,5.564,7158.432,2831.601,4.578,7160.235,2841.413,6.543,7161.704,2837.925,4.185,7162.908,2836.708,6.435,7163.508,2839.769,7.038,7163.577,2841.766,5.016,7164.25,2834.491,5.034,7156.731,2838.372,6.525,7162.553
120,2834.366,6.506,7146.57,2841.292,5.198,7148.054,2838.048,6.47,7148.205,2834.181,5.035,7150.171,2839.379,5.912,7150.425,2835.599,7.956,7151.422,2842.94,4.373,7151.556,2841.563,4.579,7151.758,2836.258,4.593,7152.515,2838.884,6.047,7152.923,2843.319,4.978,7153.216,2831.605,5.077,7153.393,2840.824,6.297,7154.549,2831.739,4.973,7154.886,2834.852,7.709,7154.727,2833.38,6.578,7155.911,2839.268,5.039,7156.018,2837.525,6.657,7156.438,2834.885,6.603,7156.654,2836.804,8.376,7157.231,2839.574,5.032,7157.418,2837.402,6.169,7157.641,2839.334,6.988,7157.897,2843.478,5.587,7158.34,2831.601,4.475,7160.102,2841.395,6.524,7161.584,2837.966,4.146,7162.784,2836.71,6.298,7163.4,2839.782,6.997,7163.467,2841.734,5.026,7164.141,2834.419,4.98,7156.659,2838.507,6.626,7162.629
150,2834.372,6.549,7146.509,2841.331,5.19,7148.098,2838.046,6.551,7148.269,2834.201,5.005,7150.175,2839.404,5.939,7150.484,2835.596,8.009,7151.459,2842.966,4.289,7151.582,2841.6,4.514,7151.746,2836.277,4.531,7152.545,2838.878,6.113,7152.975,2843.298,4.977,7153.271,2831.652,5.094,7153.433,2840.862,6.34,7154.623,2831.747,4.934,7154.877,2834.834,7.705,7154.781,2833.387,6.682,7155.899,2839.24,5.023,7156.062,2837.505,6.699,7156.452,2834.875,6.623,7156.665,2836.809,8.434,7157.289,2839.592,4.998,7157.463,2837.398,6.162,7157.684,2839.284,7.063,7157.917,2843.505,5.517,7158.335,2831.593,4.39,7160.127,2841.411,6.558,7161.621,2837.944,4.043,7162.84,2836.675,6.185,7163.394,2839.864,7.059,7163.499,2841.741,4.977,7164.149,2834.485,4.817,7156.577,2838.348,6.978,7162.602
180,2834.232,7.485,7146.478,2841.18,6.171,7147.978,2837.943,7.448,7148.16,2834.085,5.991,7150.167,2839.327,6.661,7150.413,2835.498,8.952,7151.415,2842.861,5.342,7151.494,2841.448,5.468,7151.679,2836.217,5.494,7152.471,2838.785,7.004,7152.892,2843.186,5.962,7153.103,2831.539,6.055,7153.342,2840.746,7.097,7154.511,2831.61,5.897,7154.847,2834.688,8.558,7154.715,2833.256,7.572,7155.849,2839.135,5.932,7156.001,2837.374,7.547,7156.395,2834.755,7.53,7156.638,2836.735,9.309,7157.23,2839.44,5.925,7157.363,2837.273,7.059,7157.555,2839.219,7.928,7157.847,2843.377,6.495,7158.244,2831.482,5.304,7160.051,2841.296,7.346,7161.593,2837.842,5.035,7162.768,2836.661,7.087,7163.277,2839.827,7.821,7163.406,2841.653,5.867,7164.077,2834.303,5.952,7156.61,2838.457,6.954,7162.756
210,2834.331,7.409,7146.489,2841.261,6.052,7147.988,2838.096,7.34,7148.145,2834.167,5.952,7150.121,2839.322,6.668,7150.432,2835.538,8.892,7151.407,2842.861,5.111,7151.425,2841.54,5.481,7151.672,2836.248,5.429,7152.464,2838.784,6.935,7152.857,2843.241,5.925,7153.105,2831.635,6.058,7153.37,2840.735,7.067,7154.435,2831.686,5.864,7154.853,2834.779,8.552,7154.684,2833.26,7.544,7155.838,2839.143,5.896,7155.994,2837.408,7.485,7156.396,2834.816,7.487,7156.626,2836.787,9.193,7157.146,2839.501,5.882,7157.422,2837.303,6.968,7157.625,2839.209,7.879,7157.896,2843.392,6.495,7158.242,2831.496,5.415,7160.001,2841.366,7.35,7161.495,2837.922,5.003,7162.715,2836.679,7.017,7163.31,2839.886,7.939,7163.351,2841.682,5.881,7164.1,2834.411,5.752,7156.538,2838.286,7.128,7162.612
240,2834.366,7.396,7146.527,2841.289,6.048,7148.004,2838.084,7.347,7148.165,2834.166,5.902,7150.153,2839.385,6.687,7150.423,2835.551,8.668,7151.33,2842.904,5.094,7151.485,2841.565,5.431,7151.748,2836.268,5.502,7152.49,2838.962,6.935,7152.954,2843.281,5.929,7153.197,2831.609,6.026,7153.41,2840.787,7.072,7154.495,2831.74,5.885,7154.799,2834.823,8.555,7154.762,2833.317,7.518,7155.816,2839.15,5.802,7156.025,2837.428,7.489,7156.416,2834.854,7.442,7156.643,2836.799,9.2,7157.191,2839.467,5.87,7157.435,2837.275,6.995,7157.645,2839.236,7.818,7157.868,2843.345,6.481,7158.268,2831.603,5.396,7160.02,2841.324,7.278,7161.522,2837.922,4.996,7162.718,2836.643,6.995,7163.355,2839.828,7.964,7163.441,2841.626,5.873,7164.079,2834.449,5.755,7156.577,2838.474,7.134,7162.586
270,2834.305,7.405,7146.596,2841.313,6.03,7148.014,2838.068,7.282,7148.214,2834.167,5.859,7150.2,2839.365,6.643,7150.442,2835.531,8.684,7151.419,2842.945,5.129,7151.542,2841.577,5.462,7151.746,2836.256,5.514,7152.503,2838.996,6.933,7153.07,2843.291,5.852,7153.196,2831.583,6.025,7153.458,2840.832,7.068,7154.559,2831.727,5.86,7154.857,2834.79,8.502,7154.814,2833.301,7.531,7155.907,2839.182,5.766,7156.057,2837.449,7.495,7156.497,2834.842,7.459,7156.731,2836.835,9.11,7157.195,2839.502,5.809,7157.461,2837.336,6.97,7157.718,2839.268,7.821,7157.984,2843.388,6.402,7158.346,2831.566,5.42,7160.079,2841.378,7.311,7161.538,2837.912,5.025,7162.74,2836.668,6.95,7163.341,2839.812,7.942,7163.445,2841.669,5.853,7164.108,2834.406,5.763,7156.602,2838.445,7.125,7162.667
300,2834.292,7.394,7146.583,2841.305,6.002,7148.011,2838.129,7.166,7148.135,2834.171,5.694,7150.118,2839.376,6.607,7150.527,2835.519,8.611,7151.41,2842.953,5.058,7151.489,2841.627,5.371,7151.753,2836.29,5.424,7152.517,2838.969,6.705,7152.981,2843.332,5.721,7153.153,2831.629,5.96,7153.342,2840.877,7.054,7154.531,2831.741,5.883,7154.899,2834.749,8.458,7154.842,2833.307,7.514,7155.862,2839.227,5.718,7156.013,2837.463,7.446,7156.512,2834.824,7.394,7156.737,2836.826,9.097,7157.204,2839.549,5.686,7157.338,2837.399,6.978,7157.687,2839.313,7.675,7157.938,2843.407,6.162,7158.277,2831.554,5.312,7160.07,2841.376,7.252,7161.559,2837.958,4.922,7162.739,2836.698,6.889,7163.354,2839.851,7.915,7163.418,2841.767,5.651,7163.98,2834.463,5.502,7156.479,2838.78,7.395,7162.488
330,2834.355,7.292,7146.499,2841.309,5.985,7148.026,2838.057,7.129,7148.129,2834.136,5.63,7150.11,2839.343,6.604,7150.496,2835.488,8.679,7151.39,2842.971,5.047,7151.516,2841.596,5.379,7151.729,2836.26,5.398,7152.499,2838.968,6.78,7153.012,2843.279,5.769,7153.166,2831.583,5.92,7153.305,2840.882,7.031,7154.485,2831.635,5.833,7154.893,2834.795,8.442,7154.836,2833.291,7.524,7155.906,2839.205,5.669,7155.975,2837.439,7.469,7156.443,2834.784,7.402,7156.677,2836.842,9.035,7157.203,2839.523,5.656,7157.339,2837.304,6.971,7157.646,2839.32,7.652,7157.903,2843.444,6.125,7158.293,2831.537,5.264,7160.06,2841.413,7.189,7161.543,2837.909,4.955,7162.76,2836.675,6.871,7163.323,2839.842,7.911,7163.382,2841.731,5.632,7164.043,2834.413,5.678,7156.576,2838.401,7.741,7162.426
360,2834.401,7.138,7146.463,2841.324,5.914,7148.024,2838.105,7.118,7148.123,2834.16,5.594,7150.058,2839.36,6.566,7150.572,2835.524,8.613,7151.354,2842.942,4.979,7151.501,2841.681,5.197,7151.604,2836.287,5.341,7152.508,2838.994,6.642,7152.973,2843.326,5.597,7153.119,2831.624,5.923,7153.247,2840.845,7.008,7154.474,2831.632,5.759,7154.9,2834.822,8.421,7154.845,2833.213,7.467,7155.873,2839.208,5.602,7155.97,2837.471,7.424,7156.376,2834.8,7.302,7156.654,2836.849,9.01,7157.194,2839.531,5.627,7157.351,2837.329,6.922,7157.663,2839.355,7.658,7157.878,2843.467,6.125,7158.27,2831.516,5.215,7159.954,2841.364,7.067,7161.567,2837.945,4.778,7162.736,2836.677,6.826,7163.353,2839.697,7.689,7163.34,2841.66,5.599,7164.016,2834.452,5.514,7156.499,2838.383,7.557,7162.575
